algorithm_name,env_n,size,best_solution,H,states,time
HC,2,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,5,0.000742
SA,2,8,"[7, 1, 3, 0, 6, 4, 2, 5]",0,76,0.000308
GA,2,8,"[6, 4, 1, 5, 0, 2, 4, 7]",1,50000,0.353200
random,3,8,"[2, 4, 6, 0, 5, 7, 1, 3]",1,50000,0.291837
HC,3,8,"[5, 2, 4, 7, 0, 3, 1, 6]",0,53,0.009499
SA,3,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,657,0.002668
GA,3,8,"[2, 7, 5, 1, 5, 0, 6, 3]",1,50000,0.344500
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,50000,0.294430
HC,4,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,12,0.002025
SA,4,8,"[4, 2, 5, 2, 6, 1, 3, 7]",1,1839,0.007691
GA,4,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,2354,0.016511
random,5,8,"[3, 1, 6, 2, 5, 7, 4, 0]",0,49787,0.290462
HC,5,8,"[4, 2, 0, 6, 3, 5, 7, 1]",1,5,0.000954
SA,5,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,488,0.001965
GA,5,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,5588,0.038433
random,6,8,"[5, 2, 0, 3, 0, 7, 1, 4]",1,50000,0.293552
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 3]",1,50000,9.163011
SA,6,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,302,0.001226
GA,6,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,2746,0.018551
random,7,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,36012,0.209185
HC,7,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,32,0.005745
SA,7,8,"[4, 2, 7, 3, 6, 0, 2, 5]",1,1839,0.007503
GA,7,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,1374,0.008857
random,8,8,"[7, 6, 3, 0, 4, 1, 5, 2]",1,50000,0.290861
HC,8,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,9,0.001470
SA,8,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,1377,0.005593
GA,8,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,1668,0.010953
random,9,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,47420,0.276686
HC,9,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,21,0.003624
SA,9,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,1832,0.007428
GA,9,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,1276,0.008202
random,10,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,35793,0.208098
HC,10,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,10,0.001638
SA,10,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,418,0.001713
GA,10,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,1080,0.006845
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,50000,0.292860
HC,11,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,8,0.001262
SA,11,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,124,0.000504
GA,11,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,2256,0.014928
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,50000,0.291307
HC,12,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,9,0.001457
SA,12,8,"[5, 1, 6, 4, 2, 7, 3, 6]",1,1839,0.007503
GA,12,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,982,0.006155
random,13,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,28213,0.163654
HC,13,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,39,0.006901
SA,13,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,930,0.003776
GA,13,8,"[4, 0, 7, 5, 2, 6, 1, 3]",0,4118,0.027860
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,50000,0.291111
HC,14,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,39,0.006939
SA,14,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,373,0.001521
GA,14,8,"[6, 4, 3, 7, 0, 2, 5, 1]",1,50000,0.351466
random,15,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,22600,0.131386
HC,15,8,"[5, 2, 6, 3, 0, 7, 1, 4]",0,39,0.006916
SA,15,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,520,0.002120
GA,15,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,2354,0.015945
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,50000,0.290163
HC,16,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,36,0.006653
SA,16,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,475,0.001915
GA,16,8,"[6, 4, 1, 5, 0, 2, 7, 7]",1,50000,0.351062
random,17,8,"[5, 1, 6, 4, 0, 7, 3, 2]",1,50000,0.290113
HC,17,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,24,0.004200
SA,17,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,703,0.002861
GA,17,8,"[3, 1, 6, 2, 5, 7, 4, 0]",0,296,0.001402
random,18,8,"[3, 5, 0, 4, 1, 7, 2, 6]",0,34667,0.200660
HC,18,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,30,0.005245
SA,18,8,"[0, 3, 5, 0, 2, 4, 7, 1]",1,1839,0.007475
GA,18,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,2256,0.015023
random,19,8,"[6, 2, 0, 5, 1, 4, 1, 7]",1,50000,0.290123
HC,19,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,8,0.001290
SA,19,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,557,0.002275
GA,19,8,"[5, 2, 6, 3, 0, 7, 1, 4]",0,2158,0.014321
random,20,8,"[2, 5, 1, 6, 0, 6, 4, 7]",1,50000,0.290416
HC,20,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,79,0.014529
SA,20,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1502,0.006260
GA,20,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,3138,0.021780
random,21,8,"[5, 2, 0, 3, 6, 7, 1, 4]",1,50000,0.291520
HC,21,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,21,0.003669
SA,21,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,132,0.000538
GA,21,8,"[6, 1, 3, 0, 7, 4, 2, 5]",0,5392,0.036703
random,22,8,"[6, 3, 1, 7, 4, 0, 2, 5]",1,50000,0.290050
HC,22,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,10,0.001644
SA,22,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,711,0.002894
GA,22,8,"[1, 3, 6, 4, 2, 0, 5, 7]",1,50000,0.347948
random,23,8,"[4, 2, 3, 5, 7, 1, 6, 0]",1,50000,0.290703
HC,23,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,5,0.000741
SA,23,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,1234,0.005034
GA,23,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,1472,0.009607
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,50000,0.298245
HC,24,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,53,0.009454
SA,24,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,100,0.000406
GA,24,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,1864,0.012239
random,25,8,"[7, 2, 4, 6, 0, 5, 3, 1]",1,50000,0.289491
HC,25,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,11,0.001822
SA,25,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,260,0.001052
GA,25,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,1570,0.010397
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,50000,0.291602
HC,26,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,5,0.000731
SA,26,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,370,0.001506
GA,26,8,"[6, 2, 5, 2, 0, 7, 3, 1]",1,50000,0.342090
random,27,8,"[5, 7, 5, 0, 2, 4, 6, 3]",1,50000,0.294552
HC,27,8,"[7, 2, 6, 3, 1, 4, 0, 5]",1,5,0.000903
SA,27,8,"[2, 7, 5, 1, 5, 0, 6, 3]",1,1839,0.007468
GA,27,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,10586,0.078926
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,50000,0.290042
HC,28,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,5,0.000737
SA,28,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,326,0.001330
GA,28,8,"[1, 6, 0, 2, 4, 7, 5, 3]",1,50000,0.343108
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,50000,0.290047
HC,29,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,33,0.005807
SA,29,8,"[1, 5, 0, 6, 3, 5, 2, 4]",1,1839,0.007442
GA,29,8,"[3, 1, 7, 4, 6, 0, 2, 5]",0,786,0.004800
random,30,8,"[1, 6, 2, 0, 7, 4, 0, 3]",1,50000,0.289231
HC,30,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,4,0.000554
SA,30,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,521,0.002396
GA,30,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,1178,0.007625
random,1,10,"[2, 7, 1, 6, 8, 0, 4, 0, 5, 9]",1,50000,0.392173
HC,1,10,"[7, 3, 1, 6, 4, 9, 0, 8, 5, 2]",0,38,0.015888
SA,1,10,"[3, 7, 0, 8, 5, 1, 6, 9, 2, 4]",0,680,0.003821
GA,1,10,"[3, 7, 0, 2, 9, 7, 1, 4, 8, 5]",1,50000,0.444610
random,2,10,"[6, 2, 7, 1, 4, 9, 5, 0, 8, 6]",2,50000,0.389334
